date,consumer_confidence_index,new_car_price_index,used_car_price_index,fed_interest_rate,electric_vehicle_adoption,inflation_rate
1/1/2021,77.6,100,100,0.0009,0.02,0.014
1/2/2021,77.6,100.039533,100.5613445,0.00093589,0.020038356,0.014013699
1/3/2021,77.6,100.0790659,101.1226891,0.000971781,0.020076712,0.014027397
1/4/2021,77.6,100.1185989,101.6840336,0.001007671,0.020115068,0.014041096
1/5/2021,77.6,100.1581319,102.2453782,0.001043562,0.020153425,0.014054795
1/6/2021,77.6,100.1976648,102.8067227,0.001079452,0.020191781,0.014068493
1/7/2021,77.6,100.2371978,103.3680672,0.001115342,0.020230137,0.014082192
1/8/2021,77.6,100.2767308,103.9294118,0.001151233,0.020268493,0.01409589
1/9/2021,77.6,100.3162637,104.4907563,0.001187123,0.020306849,0.014109589
1/10/2021,77.6,100.3557967,105.0521008,0.001223014,0.020345205,0.014123288
1/11/2021,77.6,100.3953297,105.6134454,0.001258904,0.020383562,0.014136986
1/12/2021,77.6,100.4348626,106.1747899,0.001294795,0.020421918,0.014150685
1/13/2021,77.6,100.4743956,106.7361345,0.001330685,0.020460274,0.014164384
1/14/2021,77.6,100.5139286,107.297479,0.001366575,0.02049863,0.014178082
1/15/2021,77.6,100.5534615,107.8588235,0.001402466,0.020536986,0.014191781
1/16/2021,77.6,100.5929945,108.4201681,0.001438356,0.020575342,0.014205479
1/17/2021,77.6,100.6325275,108.9815126,0.001474247,0.020613699,0.014219178
1/18/2021,77.6,100.6720604,109.5428571,0.001510137,0.020652055,0.014232877
1/19/2021,77.6,100.7115934,110.1042017,0.001546027,0.020690411,0.014246575
1/20/2021,77.6,100.7511264,110.6655462,0.001581918,0.020728767,0.014260274
1/21/2021,77.6,100.7906593,111.2268908,0.001617808,0.020767123,0.014273973
1/22/2021,77.6,100.8301923,111.7882353,0.001653699,0.020805479,0.014287671
1/23/2021,77.6,100.8697253,112.3495798,0.001689589,0.020843836,0.01430137
1/24/2021,77.6,100.9092582,112.9109244,0.001725479,0.020882192,0.014315068
1/25/2021,77.6,100.9487912,113.4722689,0.00176137,0.020920548,0.014328767
1/26/2021,77.6,100.9883242,114.0336134,0.00179726,0.020958904,0.014342466
1/27/2021,77.6,101.0278571,114.594958,0.001833151,0.02099726,0.014356164
1/28/2021,77.6,101.0673901,115.1563025,0.001869041,0.021035616,0.014369863
1/29/2021,77.6,101.1069231,115.7176471,0.001904932,0.021073973,0.014383562
1/30/2021,77.6,101.146456,116.2789916,0.001940822,0.021112329,0.01439726
1/31/2021,77.6,101.185989,116.8403361,0.001976712,0.021150685,0.014410959
2/1/2021,77.6,101.225522,117.4016807,0.002012603,0.021189041,0.014424658
2/2/2021,77.6,101.2650549,117.9630252,0.002048493,0.021227397,0.014438356
2/3/2021,77.6,101.3045879,118.5243697,0.002084384,0.021265753,0.014452055
2/4/2021,77.6,101.3441209,119.0857143,0.002120274,0.02130411,0.014465753
2/5/2021,77.6,101.3836538,119.6470588,0.002156164,0.021342466,0.014479452
2/6/2021,77.6,101.4231868,120.2084034,0.002192055,0.021380822,0.014493151
2/7/2021,77.6,101.4627198,120.7697479,0.002227945,0.021419178,0.014506849
2/8/2021,77.6,101.5022527,121.3310924,0.002263836,0.021457534,0.014520548
2/9/2021,77.6,101.5417857,121.892437,0.002299726,0.02149589,0.014534247
2/10/2021,77.6,101.5813187,122.4537815,0.002335616,0.021534247,0.014547945
2/11/2021,77.6,101.6208516,123.0151261,0.002371507,0.021572603,0.014561644
2/12/2021,77.6,101.6603846,123.5764706,0.002407397,0.021610959,0.014575342
2/13/2021,77.6,101.6999176,124.1378151,0.002443288,0.021649315,0.014589041
2/14/2021,77.6,101.7394505,124.6991597,0.002479178,0.021687671,0.01460274
2/15/2021,77.6,101.7789835,125.2605042,0.002515068,0.021726027,0.014616438
2/16/2021,77.6,101.8185165,125.8218487,0.002550959,0.021764384,0.014630137
2/17/2021,77.6,101.8580495,126.3831933,0.002586849,0.02180274,0.014643836
2/18/2021,77.6,101.8975824,126.9445378,0.00262274,0.021841096,0.014657534
2/19/2021,77.6,101.9371154,127.5058824,0.00265863,0.021879452,0.014671233
2/20/2021,77.6,101.9766484,128.0672269,0.002694521,0.021917808,0.014684932
2/21/2021,77.6,102.0161813,128.6285714,0.002730411,0.021956164,0.01469863
